State,State_Abbr,Status,date
Arizona,AZ,Varies by school/district/dependent on local health authorities,2020-09-25
Arkansas,AR,State-ordered in-person instruction available part-time or full-time*,2020-09-25
California,CA,State-ordered regional closure in effect,2020-09-25
Colorado,CO,Varies by school/district/dependent on local health authorities,2020-09-25
Connecticut,CT,Varies by school/district/dependent on local health authorities,2020-09-25
Delaware,DE,Only hybrid or remote instruction allowed,2020-09-25
District of Columbia,DC,State ordered closure in effect (including states where openings are delayed),2020-09-25
Florida,FL,State-ordered in-person instruction available part-time or full-time*,2020-09-25
Georgia,GA,Varies by school/district/dependent on local health authorities,2020-09-25
Hawaii,HI,State-ordered regional closure in effect,2020-09-25
Idaho,ID,Varies by school/district/dependent on local health authorities,2020-09-25
Illinois,IL,Varies by school/district/dependent on local health authorities,2020-09-25
Indiana,IN,Varies by school/district/dependent on local health authorities,2020-09-25
Iowa,IA,State-ordered in-person instruction available part-time or full-time*,2020-09-25
Kansas,KS,Varies by school/district/dependent on local health authorities,2020-09-25
Kentucky,KY,Varies by school/district/dependent on local health authorities,2020-09-25
Louisiana,LA,Varies by school/district/dependent on local health authorities,2020-09-25
Maine,ME,Varies by school/district/dependent on local health authorities,2020-09-25
Maryland,MD,Varies by school/district/dependent on local health authorities,2020-09-25
Massachusetts,MA,Varies by school/district/dependent on local health authorities,2020-09-25
Michigan,MI,Varies by school/district/dependent on local health authorities,2020-09-25
Minnesota,MN,Varies by school/district/dependent on local health authorities,2020-09-25
Mississippi,MS,Varies by school/district/dependent on local health authorities,2020-09-25
Missouri,MO,Varies by school/district/dependent on local health authorities,2020-09-25
Montana,MT,Varies by school/district/dependent on local health authorities,2020-09-25
Nebraska,NE,Varies by school/district/dependent on local health authorities,2020-09-25
Nevada,NV,Varies by school/district/dependent on local health authorities,2020-09-25
New Hampshire,NH,Varies by school/district/dependent on local health authorities,2020-09-25
New Jersey,NJ,Varies by school/district/dependent on local health authorities,2020-09-25
New Mexico,NM,State-ordered regional closure in effect,2020-09-25
New York,NY,Varies by school/district/dependent on local health authorities,2020-09-25
North Carolina,NC,Only hybrid or remote instruction allowed,2020-09-25
North Dakota,ND,Varies by school/district/dependent on local health authorities,2020-09-25
Ohio,OH,Varies by school/district/dependent on local health authorities,2020-09-25
Oklahoma,OK,Varies by school/district/dependent on local health authorities,2020-09-25
Oregon,OR,State-ordered regional closure in effect,2020-09-25
Pennsylvania,PA,Varies by school/district/dependent on local health authorities,2020-09-25
Puerto Rico,PR,State ordered closure in effect (including states where openings are delayed),2020-09-25
Rhode Island,RI,Varies by school/district/dependent on local health authorities,2020-09-25
South Carolina,SC,Varies by school/district/dependent on local health authorities,2020-09-25
South Dakota,SD,Varies by school/district/dependent on local health authorities,2020-09-25
Tennessee,TN,Varies by school/district/dependent on local health authorities,2020-09-25
Texas,TX,State-ordered in-person instruction available part-time or full-time*,2020-09-25
Utah,UT,Varies by school/district/dependent on local health authorities,2020-09-25
Vermont,VT,Varies by school/district/dependent on local health authorities,2020-09-25
Virginia,VA,Varies by school/district/dependent on local health authorities,2020-09-25
Washington,WA,Varies by school/district/dependent on local health authorities,2020-09-25
West Virginia,WV,State-ordered regional closure in effect,2020-09-25
Wisconsin,WI,Varies by school/district/dependent on local health authorities,2020-09-25
Wyoming,WY,Varies by school/district/dependent on local health authorities,2020-09-25
Alabama,AL,Varies by school/district/dependent on local health authorities,2020-09-18
Alaska,AK,Varies by school/district/dependent on local health authorities,2020-09-18
Arizona,AZ,Varies by school/district/dependent on local health authorities,2020-09-18
Arkansas,AR,State-ordered in-person instruction available part-time or full-time*,2020-09-18
California,CA,State-ordered regional closure in effect,2020-09-18
Colorado,CO,Varies by school/district/dependent on local health authorities,2020-09-18
Connecticut,CT,Varies by school/district/dependent on local health authorities,2020-09-18
Delaware,DE,Only hybrid or remote instruction allowed,2020-09-18
District of Columbia,DC,State ordered closure in effect (including states where openings are delayed),2020-09-18
Florida,FL,State-ordered in-person instruction available part-time or full-time*,2020-09-18
Georgia,GA,Varies by school/district/dependent on local health authorities,2020-09-18
Hawaii,HI,State-ordered regional closure in effect,2020-09-18
Idaho,ID,Varies by school/district/dependent on local health authorities,2020-09-18
Illinois,IL,Varies by school/district/dependent on local health authorities,2020-09-18
Indiana,IN,Varies by school/district/dependent on local health authorities,2020-09-18
Iowa,IA,State-ordered in-person instruction available part-time or full-time*,2020-09-18
Kansas,KS,Varies by school/district/dependent on local health authorities,2020-09-18
Kentucky,KY,Varies by school/district/dependent on local health authorities,2020-09-18
Louisiana,LA,Varies by school/district/dependent on local health authorities,2020-09-18
Maine,ME,Varies by school/district/dependent on local health authorities,2020-09-18
Maryland,MD,Varies by school/district/dependent on local health authorities,2020-09-18
Massachusetts,MA,Varies by school/district/dependent on local health authorities,2020-09-18
Michigan,MI,Varies by school/district/dependent on local health authorities,2020-09-18
Minnesota,MN,Varies by school/district/dependent on local health authorities,2020-09-18
Mississippi,MS,Varies by school/district/dependent on local health authorities,2020-09-18
Missouri,MO,Varies by school/district/dependent on local health authorities,2020-09-18
Montana,MT,Varies by school/district/dependent on local health authorities,2020-09-18
Nebraska,NE,Varies by school/district/dependent on local health authorities,2020-09-18
Nevada,NV,Varies by school/district/dependent on local health authorities,2020-09-18
New Hampshire,NH,Varies by school/district/dependent on local health authorities,2020-09-18
New Jersey,NJ,Varies by school/district/dependent on local health authorities,2020-09-18
New Mexico,NM,State-ordered regional closure in effect,2020-09-18
New York,NY,Varies by school/district/dependent on local health authorities,2020-09-18
North Carolina,NC,Only hybrid or remote instruction allowed,2020-09-18
North Dakota,ND,Varies by school/district/dependent on local health authorities,2020-09-18
Ohio,OH,Varies by school/district/dependent on local health authorities,2020-09-18
Oklahoma,OK,Varies by school/district/dependent on local health authorities,2020-09-18
Oregon,OR,State-ordered regional closure in effect,2020-09-18
Pennsylvania,PA,Varies by school/district/dependent on local health authorities,2020-09-18
Puerto Rico,PR,State ordered closure in effect (including states where openings are delayed),2020-09-18
Rhode Island,RI,Varies by school/district/dependent on local health authorities,2020-09-18
South Carolina,SC,Varies by school/district/dependent on local health authorities,2020-09-18
South Dakota,SD,Varies by school/district/dependent on local health authorities,2020-09-18
Tennessee,TN,Varies by school/district/dependent on local health authorities,2020-09-18
Texas,TX,State-ordered in-person instruction available part-time or full-time*,2020-09-18
Utah,UT,Varies by school/district/dependent on local health authorities,2020-09-18
Vermont,VT,Varies by school/district/dependent on local health authorities,2020-09-18
Virginia,VA,Varies by school/district/dependent on local health authorities,2020-09-18
Washington,WA,Varies by school/district/dependent on local health authorities,2020-09-18
West Virginia,WV,State-ordered regional closure in effect,2020-09-18
Wisconsin,WI,Varies by school/district/dependent on local health authorities,2020-09-18
Wyoming,WY,Varies by school/district/dependent on local health authorities,2020-09-18
Alabama,AL,Varies by school/district/dependent on local health authorities,2020-09-11
Alaska,AK,Varies by school/district/dependent on local health authorities,2020-09-11
Arizona,AZ,Varies by school/district/dependent on local health authorities,2020-09-11
Arkansas,AR,State-ordered in-person instruction available part-time or full-time*,2020-09-11
California,CA,State-ordered regional closure in effect,2020-09-11
Colorado,CO,Varies by school/district/dependent on local health authorities,2020-09-11
Connecticut,CT,Varies by school/district/dependent on local health authorities,2020-09-11
Delaware,DE,Only hybrid or remote instruction allowed,2020-09-11
District of Columbia,DC,State ordered closure in effect (including states where openings are delayed),2020-09-11
Florida,FL,State-ordered in-person instruction available part-time or full-time*,2020-09-11
Georgia,GA,Varies by school/district/dependent on local health authorities,2020-09-11
Hawaii,HI,State-ordered regional closure in effect,2020-09-11
Idaho,ID,Varies by school/district/dependent on local health authorities,2020-09-11
Illinois,IL,Varies by school/district/dependent on local health authorities,2020-09-11
Indiana,IN,Varies by school/district/dependent on local health authorities,2020-09-11
Iowa,IA,State-ordered in-person instruction available part-time or full-time*,2020-09-11
Kansas,KS,Varies by school/district/dependent on local health authorities,2020-09-11
Kentucky,KY,Varies by school/district/dependent on local health authorities,2020-09-11
Louisiana,LA,Varies by school/district/dependent on local health authorities,2020-09-11
Maine,ME,Varies by school/district/dependent on local health authorities,2020-09-11
Maryland,MD,Varies by school/district/dependent on local health authorities,2020-09-11
Massachusetts,MA,Varies by school/district/dependent on local health authorities,2020-09-11
Michigan,MI,Varies by school/district/dependent on local health authorities,2020-09-11
Minnesota,MN,Varies by school/district/dependent on local health authorities,2020-09-11
Mississippi,MS,Varies by school/district/dependent on local health authorities,2020-09-11
Missouri,MO,Varies by school/district/dependent on local health authorities,2020-09-11
Montana,MT,Varies by school/district/dependent on local health authorities,2020-09-11
Nebraska,NE,Varies by school/district/dependent on local health authorities,2020-09-11
Nevada,NV,Varies by school/district/dependent on local health authorities,2020-09-11
New Hampshire,NH,Varies by school/district/dependent on local health authorities,2020-09-11
New Jersey,NJ,Varies by school/district/dependent on local health authorities,2020-09-11
New Mexico,NM,State-ordered regional closure in effect,2020-09-11
New York,NY,Varies by school/district/dependent on local health authorities,2020-09-11
North Carolina,NC,Only hybrid or remote instruction allowed,2020-09-11
North Dakota,ND,Varies by school/district/dependent on local health authorities,2020-09-11
Ohio,OH,Varies by school/district/dependent on local health authorities,2020-09-11
Oklahoma,OK,Varies by school/district/dependent on local health authorities,2020-09-11
Oregon,OR,State-ordered regional closure in effect,2020-09-11
Pennsylvania,PA,Varies by school/district/dependent on local health authorities,2020-09-11
Puerto Rico,PR,State ordered closure in effect (including states where openings are delayed),2020-09-11
Rhode Island,RI,State ordered closure in effect (including states where openings are delayed),2020-09-11
South Carolina,SC,Varies by school/district/dependent on local health authorities,2020-09-11
South Dakota,SD,Varies by school/district/dependent on local health authorities,2020-09-11
Tennessee,TN,Varies by school/district/dependent on local health authorities,2020-09-11
Texas,TX,State-ordered in-person instruction available part-time or full-time*,2020-09-11
Utah,UT,Varies by school/district/dependent on local health authorities,2020-09-11
Vermont,VT,Varies by school/district/dependent on local health authorities,2020-09-11
Virginia,VA,Only hybrid or remote instruction allowed,2020-09-11
Washington,WA,Varies by school/district/dependent on local health authorities,2020-09-11
West Virginia,WV,State-ordered regional closure in effect,2020-09-11
Wisconsin,WI,Varies by school/district/dependent on local health authorities,2020-09-11
Wyoming,WY,Varies by school/district/dependent on local health authorities,2020-09-11
Alabama,AL,Varies by school/district/dependent on local health authorities,2020-09-03
Alaska,AK,Varies by school/district/dependent on local health authorities,2020-09-03
Arizona,AZ,Varies by school/district/dependent on local health authorities,2020-09-03
Arkansas,AR,State-ordered in-person instruction available part-time or full-time*,2020-09-03
California,CA,State-ordered regional closure in effect,2020-09-03
Colorado,CO,Varies by school/district/dependent on local health authorities,2020-09-03
Connecticut,CT,Varies by school/district/dependent on local health authorities,2020-09-03
Delaware,DE,Only hybrid or remote instruction allowed,2020-09-03
District of Columbia,DC,State ordered closure in effect (including states where openings are delayed),2020-09-03
Florida,FL,State-ordered in-person instruction available part-time or full-time*,2020-09-03
Georgia,GA,Varies by school/district/dependent on local health authorities,2020-09-03
Hawaii,HI,State-ordered regional closure in effect,2020-09-03
Idaho,ID,Varies by school/district/dependent on local health authorities,2020-09-03
Illinois,IL,Varies by school/district/dependent on local health authorities,2020-09-03
Indiana,IN,Varies by school/district/dependent on local health authorities,2020-09-03
Iowa,IA,State-ordered in-person instruction available part-time or full-time*,2020-09-03
Kansas,KS,Varies by school/district/dependent on local health authorities,2020-09-03
Kentucky,KY,Varies by school/district/dependent on local health authorities,2020-09-03
Louisiana,LA,Varies by school/district/dependent on local health authorities,2020-09-03
Maine,ME,Varies by school/district/dependent on local health authorities,2020-09-03
Maryland,MD,Varies by school/district/dependent on local health authorities,2020-09-03
Massachusetts,MA,Varies by school/district/dependent on local health authorities,2020-09-03
Michigan,MI,Varies by school/district/dependent on local health authorities,2020-09-03
Minnesota,MN,Varies by school/district/dependent on local health authorities,2020-09-03
Mississippi,MS,Varies by school/district/dependent on local health authorities,2020-09-03
Missouri,MO,State-ordered in-person instruction available part-time or full-time*,2020-09-03
Montana,MT,Varies by school/district/dependent on local health authorities,2020-09-03
Nebraska,NE,Varies by school/district/dependent on local health authorities,2020-09-03
Nevada,NV,Varies by school/district/dependent on local health authorities,2020-09-03
New Hampshire,NH,Varies by school/district/dependent on local health authorities,2020-09-03
New Jersey,NJ,Varies by school/district/dependent on local health authorities,2020-09-03
New Mexico,NM,State ordered closure in effect (including states where openings are delayed),2020-09-03
New York,NY,Varies by school/district/dependent on local health authorities,2020-09-03
North Carolina,NC,Only hybrid or remote instruction allowed,2020-09-03
North Dakota,ND,Varies by school/district/dependent on local health authorities,2020-09-03
Ohio,OH,Varies by school/district/dependent on local health authorities,2020-09-03
Oklahoma,OK,Varies by school/district/dependent on local health authorities,2020-09-03
Oregon,OR,Varies by school/district/dependent on local health authorities,2020-09-03
Pennsylvania,PA,Varies by school/district/dependent on local health authorities,2020-09-03
Puerto Rico,PR,State ordered closure in effect (including states where openings are delayed),2020-09-03
Rhode Island,RI,State ordered closure in effect (including states where openings are delayed),2020-09-03
South Carolina,SC,Varies by school/district/dependent on local health authorities,2020-09-03
South Dakota,SD,Varies by school/district/dependent on local health authorities,2020-09-03
Tennessee,TN,Varies by school/district/dependent on local health authorities,2020-09-03
Texas,TX,State-ordered in-person instruction available part-time or full-time*,2020-09-03
Utah,UT,Varies by school/district/dependent on local health authorities,2020-09-03
Vermont,VT,State ordered closure in effect (including states where openings are delayed),2020-09-03
Virginia,VA,Only hybrid or remote instruction allowed,2020-09-03
Washington,WA,Varies by school/district/dependent on local health authorities,2020-09-03
West Virginia,WV,State ordered closure in effect (including states where openings are delayed),2020-09-03
Wisconsin,WI,Varies by school/district/dependent on local health authorities,2020-09-03
Wyoming,WY,Varies by school/district/dependent on local health authorities,2020-09-03
Alabama,AL,Varies by school/district/dependent on local health authorities,2020-08-28
Alaska,AK,Varies by school/district/dependent on local health authorities,2020-08-28
Arizona,AZ,Varies by school/district/dependent on local health authorities,2020-08-28
Arkansas,AR,State-ordered in-person instruction available part-time or full-time*,2020-08-28
California,CA,State-ordered regional closure in effect,2020-08-28
Colorado,CO,Varies by school/district/dependent on local health authorities,2020-08-28
Connecticut,CT,Varies by school/district/dependent on local health authorities,2020-08-28
Delaware,DE,Only hybrid or remote instruction allowed,2020-08-28
District of Columbia,DC,State ordered closure in effect (including states where openings are delayed),2020-08-28
Florida,FL,Varies by school/district/dependent on local health authorities,2020-08-28
Georgia,GA,Varies by school/district/dependent on local health authorities,2020-08-28
Hawaii,HI,State-ordered regional closure in effect,2020-08-28
Idaho,ID,Varies by school/district/dependent on local health authorities,2020-08-28
Illinois,IL,Varies by school/district/dependent on local health authorities,2020-08-28
Indiana,IN,Varies by school/district/dependent on local health authorities,2020-08-28
Iowa,IA,State-ordered in-person instruction available part-time or full-time*,2020-08-28
Kansas,KS,Varies by school/district/dependent on local health authorities,2020-08-28
Kentucky,KY,Varies by school/district/dependent on local health authorities,2020-08-28
Louisiana,LA,Varies by school/district/dependent on local health authorities,2020-08-28
Maine,ME,Varies by school/district/dependent on local health authorities,2020-08-28
Maryland,MD,Varies by school/district/dependent on local health authorities,2020-08-28
Massachusetts,MA,Varies by school/district/dependent on local health authorities,2020-08-28
Michigan,MI,Varies by school/district/dependent on local health authorities,2020-08-28
Minnesota,MN,Varies by school/district/dependent on local health authorities,2020-08-28
Mississippi,MS,Varies by school/district/dependent on local health authorities,2020-08-28
Missouri,MO,State-ordered in-person instruction available part-time or full-time*,2020-08-28
Montana,MT,Varies by school/district/dependent on local health authorities,2020-08-28
Nebraska,NE,Varies by school/district/dependent on local health authorities,2020-08-28
Nevada,NV,Varies by school/district/dependent on local health authorities,2020-08-28
New Hampshire,NH,Varies by school/district/dependent on local health authorities,2020-08-28
New Jersey,NJ,Varies by school/district/dependent on local health authorities,2020-08-28
New Mexico,NM,State ordered closure in effect (including states where openings are delayed),2020-08-28
New York,NY,Varies by school/district/dependent on local health authorities,2020-08-28
North Carolina,NC,Only hybrid or remote instruction allowed,2020-08-28
North Dakota,ND,Varies by school/district/dependent on local health authorities,2020-08-28
Ohio,OH,Varies by school/district/dependent on local health authorities,2020-08-28
Oklahoma,OK,Varies by school/district/dependent on local health authorities,2020-08-28
Oregon,OR,Varies by school/district/dependent on local health authorities,2020-08-28
Pennsylvania,PA,Varies by school/district/dependent on local health authorities,2020-08-28
