"date","age","cum.deaths","daily.deaths","code"
2020-05-22,"0-9",0,0,"KY"
2020-05-22,"10-19",0,0,"KY"
2020-05-22,"20-29",0,0,"KY"
2020-05-22,"30-39",2,0,"KY"
2020-05-22,"40-49",6,0,"KY"
2020-05-22,"50-59",25,2,"KY"
2020-05-22,"60-69",60,2,"KY"
2020-05-22,"70-79",97,3,"KY"
2020-05-22,"80+",196,3,"KY"
2020-05-23,"0-9",0,0,"KY"
2020-05-23,"10-19",0,0,"KY"
2020-05-23,"20-29",0,0,"KY"
2020-05-23,"30-39",2,0,"KY"
2020-05-23,"40-49",6,0,"KY"
2020-05-23,"50-59",25,0,"KY"
2020-05-23,"60-69",60,0,"KY"
2020-05-23,"70-79",99,2,"KY"
2020-05-23,"80+",199,3,"KY"
2020-05-24,"0-9",0,0,"KY"
2020-05-24,"10-19",0,0,"KY"
2020-05-24,"20-29",0,0,"KY"
2020-05-24,"30-39",2,0,"KY"
2020-05-24,"40-49",6,0,"KY"
2020-05-24,"50-59",25,0,"KY"
2020-05-24,"60-69",60,0,"KY"
2020-05-24,"70-79",99,0,"KY"
2020-05-24,"80+",199,0,"KY"
2020-05-25,"0-9",0,0,"KY"
2020-05-25,"10-19",0,0,"KY"
2020-05-25,"20-29",0,0,"KY"
2020-05-25,"30-39",2,0,"KY"
2020-05-25,"40-49",6,0,"KY"
2020-05-25,"50-59",25,0,"KY"
2020-05-25,"60-69",60,0,"KY"
2020-05-25,"70-79",99,0,"KY"
2020-05-25,"80+",199,0,"KY"
2020-05-26,"0-9",0,0,"KY"
2020-05-26,"10-19",0,0,"KY"
2020-05-26,"20-29",0,0,"KY"
2020-05-26,"30-39",2,0,"KY"
2020-05-26,"40-49",6,0,"KY"
2020-05-26,"50-59",25,0,"KY"
2020-05-26,"60-69",60,0,"KY"
2020-05-26,"70-79",99,0,"KY"
2020-05-26,"80+",199,0,"KY"
2020-05-27,"0-9",0,0,"KY"
2020-05-27,"10-19",0,0,"KY"
2020-05-27,"20-29",0,0,"KY"
2020-05-27,"30-39",2,0,"KY"
2020-05-27,"40-49",6,0,"KY"
2020-05-27,"50-59",25,0,"KY"
2020-05-27,"60-69",61,1,"KY"
2020-05-27,"70-79",100,1,"KY"
2020-05-27,"80+",200,1,"KY"
2020-05-28,"0-9",0,0,"KY"
2020-05-28,"10-19",0,0,"KY"
2020-05-28,"20-29",0,0,"KY"
2020-05-28,"30-39",2,0,"KY"
2020-05-28,"40-49",6,0,"KY"
2020-05-28,"50-59",25,0,"KY"
2020-05-28,"60-69",63,2,"KY"
2020-05-28,"70-79",108,8,"KY"
2020-05-28,"80+",205,5,"KY"
2020-05-29,"0-9",0,0,"KY"
2020-05-29,"10-19",0,0,"KY"
2020-05-29,"20-29",0,0,"KY"
2020-05-29,"30-39",2,0,"KY"
2020-05-29,"40-49",6,0,"KY"
2020-05-29,"50-59",25,0,"KY"
2020-05-29,"60-69",63,0,"KY"
2020-05-29,"70-79",108,0,"KY"
2020-05-29,"80+",205,0,"KY"
2020-05-30,"0-9",0,0,"KY"
2020-05-30,"10-19",0,0,"KY"
2020-05-30,"20-29",0,0,"KY"
2020-05-30,"30-39",2,0,"KY"
2020-05-30,"40-49",6,0,"KY"
2020-05-30,"50-59",27,2,"KY"
2020-05-30,"60-69",69,6,"KY"
2020-05-30,"70-79",112,4,"KY"
2020-05-30,"80+",215,10,"KY"
2020-05-31,"0-9",0,0,"KY"
2020-05-31,"10-19",0,0,"KY"
2020-05-31,"20-29",0,0,"KY"
2020-05-31,"30-39",2,0,"KY"
2020-05-31,"40-49",6,0,"KY"
2020-05-31,"50-59",27,0,"KY"
2020-05-31,"60-69",69,0,"KY"
2020-05-31,"70-79",112,0,"KY"
2020-05-31,"80+",215,0,"KY"
2020-06-01,"0-9",0,0,"KY"
2020-06-01,"10-19",0,0,"KY"
2020-06-01,"20-29",0,0,"KY"
2020-06-01,"30-39",2,0,"KY"
2020-06-01,"40-49",6,0,"KY"
2020-06-01,"50-59",27,0,"KY"
2020-06-01,"60-69",69,0,"KY"
2020-06-01,"70-79",112,0,"KY"
2020-06-01,"80+",215,0,"KY"
2020-06-02,"0-9",0,0,"KY"
2020-06-02,"10-19",0,0,"KY"
2020-06-02,"20-29",0,0,"KY"
2020-06-02,"30-39",3,1,"KY"
2020-06-02,"40-49",6,0,"KY"
2020-06-02,"50-59",28,1,"KY"
2020-06-02,"60-69",69,0,"KY"
2020-06-02,"70-79",113,1,"KY"
2020-06-02,"80+",220,5,"KY"
2020-06-03,"0-9",0,0,"KY"
2020-06-03,"10-19",0,0,"KY"
2020-06-03,"20-29",0,0,"KY"
2020-06-03,"30-39",3,0,"KY"
2020-06-03,"40-49",6,0,"KY"
2020-06-03,"50-59",28,0,"KY"
2020-06-03,"60-69",70,1,"KY"
2020-06-03,"70-79",113,0,"KY"
2020-06-03,"80+",222,2,"KY"
2020-06-04,"0-9",1,1,"KY"
2020-06-04,"10-19",0,0,"KY"
2020-06-04,"20-29",0,0,"KY"
2020-06-04,"30-39",3,0,"KY"
2020-06-04,"40-49",7,1,"KY"
2020-06-04,"50-59",28,0,"KY"
2020-06-04,"60-69",70,0,"KY"
2020-06-04,"70-79",113,0,"KY"
2020-06-04,"80+",228,6,"KY"
2020-06-05,"0-9",1,0,"KY"
2020-06-05,"10-19",0,0,"KY"
2020-06-05,"20-29",0,0,"KY"
2020-06-05,"30-39",3,0,"KY"
2020-06-05,"40-49",7,0,"KY"
2020-06-05,"50-59",28,0,"KY"
2020-06-05,"60-69",70,0,"KY"
2020-06-05,"70-79",115,2,"KY"
2020-06-05,"80+",234,6,"KY"
2020-06-06,"0-9",1,0,"KY"
2020-06-06,"10-19",0,0,"KY"
2020-06-06,"20-29",0,0,"KY"
2020-06-06,"30-39",3,0,"KY"
2020-06-06,"40-49",8,1,"KY"
2020-06-06,"50-59",29,1,"KY"
2020-06-06,"60-69",71,1,"KY"
2020-06-06,"70-79",116,1,"KY"
2020-06-06,"80+",238,4,"KY"
2020-06-07,"0-9",1,0,"KY"
2020-06-07,"10-19",0,0,"KY"
2020-06-07,"20-29",0,0,"KY"
2020-06-07,"30-39",3,0,"KY"
2020-06-07,"40-49",8,0,"KY"
2020-06-07,"50-59",29,0,"KY"
2020-06-07,"60-69",71,0,"KY"
2020-06-07,"70-79",119,3,"KY"
2020-06-07,"80+",239,1,"KY"
2020-06-08,"0-9",1,0,"KY"
2020-06-08,"10-19",0,0,"KY"
2020-06-08,"20-29",0,0,"KY"
2020-06-08,"30-39",3,0,"KY"
2020-06-08,"40-49",8,0,"KY"
2020-06-08,"50-59",30,1,"KY"
2020-06-08,"60-69",72,1,"KY"
2020-06-08,"70-79",119,0,"KY"
2020-06-08,"80+",239,0,"KY"
2020-06-09,"0-9",1,0,"KY"
2020-06-09,"10-19",0,0,"KY"
2020-06-09,"20-29",0,0,"KY"
2020-06-09,"30-39",3,0,"KY"
2020-06-09,"40-49",8,0,"KY"
2020-06-09,"50-59",32,2,"KY"
2020-06-09,"60-69",73,1,"KY"
2020-06-09,"70-79",119,0,"KY"
2020-06-09,"80+",241,2,"KY"
2020-06-10,"0-9",1,0,"KY"
2020-06-10,"10-19",0,0,"KY"
2020-06-10,"20-29",0,0,"KY"
2020-06-10,"30-39",3,0,"KY"
2020-06-10,"40-49",8,0,"KY"
2020-06-10,"50-59",33,1,"KY"
2020-06-10,"60-69",75,2,"KY"
2020-06-10,"70-79",121,2,"KY"
2020-06-10,"80+",243,2,"KY"
2020-06-11,"0-9",1,0,"KY"
2020-06-11,"10-19",0,0,"KY"
2020-06-11,"20-29",0,0,"KY"
2020-06-11,"30-39",3,0,"KY"
2020-06-11,"40-49",8,0,"KY"
2020-06-11,"50-59",33,0,"KY"
2020-06-11,"60-69",78,3,"KY"
2020-06-11,"70-79",123,2,"KY"
2020-06-11,"80+",247,4,"KY"
2020-06-12,"0-9",1,0,"KY"
2020-06-12,"10-19",0,0,"KY"
2020-06-12,"20-29",0,0,"KY"
2020-06-12,"30-39",3,0,"KY"
2020-06-12,"40-49",8,0,"KY"
2020-06-12,"50-59",34,1,"KY"
2020-06-12,"60-69",78,0,"KY"
2020-06-12,"70-79",124,1,"KY"
2020-06-12,"80+",249,2,"KY"
2020-06-13,"0-9",1,0,"KY"
2020-06-13,"10-19",0,0,"KY"
2020-06-13,"20-29",0,0,"KY"
2020-06-13,"30-39",3,0,"KY"
2020-06-13,"40-49",8,0,"KY"
2020-06-13,"50-59",34,0,"KY"
2020-06-13,"60-69",79,1,"KY"
2020-06-13,"70-79",125,1,"KY"
2020-06-13,"80+",249,0,"KY"
2020-06-14,"0-9",1,0,"KY"
2020-06-14,"10-19",0,0,"KY"
2020-06-14,"20-29",0,0,"KY"
2020-06-14,"30-39",3,0,"KY"
2020-06-14,"40-49",8,0,"KY"
2020-06-14,"50-59",34,0,"KY"
2020-06-14,"60-69",79,0,"KY"
2020-06-14,"70-79",125,0,"KY"
2020-06-14,"80+",249,0,"KY"
2020-06-15,"0-9",1,0,"KY"
2020-06-15,"10-19",0,0,"KY"
2020-06-15,"20-29",0,0,"KY"
2020-06-15,"30-39",3,0,"KY"
2020-06-15,"40-49",9,1,"KY"
2020-06-15,"50-59",34,0,"KY"
2020-06-15,"60-69",80,1,"KY"
2020-06-15,"70-79",125,0,"KY"
2020-06-15,"80+",253,4,"KY"
2020-06-16,"0-9",1,0,"KY"
2020-06-16,"10-19",0,0,"KY"
2020-06-16,"20-29",0,0,"KY"
2020-06-16,"30-39",3,0,"KY"
2020-06-16,"40-49",9,0,"KY"
2020-06-16,"50-59",34,0,"KY"
2020-06-16,"60-69",80,0,"KY"
2020-06-16,"70-79",125,0,"KY"
2020-06-16,"80+",253,0,"KY"
2020-06-17,"0-9",1,0,"KY"
2020-06-17,"10-19",0,0,"KY"
2020-06-17,"20-29",0,0,"KY"
2020-06-17,"30-39",3,0,"KY"
2020-06-17,"40-49",11,2,"KY"
2020-06-17,"50-59",34,0,"KY"
2020-06-17,"60-69",81,1,"KY"
2020-06-17,"70-79",129,4,"KY"
2020-06-17,"80+",259,6,"KY"
2020-06-18,"0-9",1,0,"KY"
2020-06-18,"10-19",0,0,"KY"
2020-06-18,"20-29",0,0,"KY"
2020-06-18,"30-39",3,0,"KY"
2020-06-18,"40-49",11,0,"KY"
2020-06-18,"50-59",34,0,"KY"
2020-06-18,"60-69",81,0,"KY"
2020-06-18,"70-79",130,1,"KY"
2020-06-18,"80+",260,1,"KY"
2020-06-19,"0-9",1,0,"KY"
2020-06-19,"10-19",0,0,"KY"
2020-06-19,"20-29",0,0,"KY"
2020-06-19,"30-39",3,0,"KY"
2020-06-19,"40-49",11,0,"KY"
2020-06-19,"50-59",34,0,"KY"
2020-06-19,"60-69",82,1,"KY"
2020-06-19,"70-79",130,0,"KY"
2020-06-19,"80+",261,1,"KY"
2020-06-20,"0-9",1,0,"KY"
2020-06-20,"10-19",0,0,"KY"
2020-06-20,"20-29",0,0,"KY"
2020-06-20,"30-39",3,0,"KY"
2020-06-20,"40-49",11,0,"KY"
2020-06-20,"50-59",34,0,"KY"
2020-06-20,"60-69",82,0,"KY"
2020-06-20,"70-79",130,0,"KY"
2020-06-20,"80+",263,2,"KY"
2020-06-21,"0-9",1,0,"KY"
2020-06-21,"10-19",0,0,"KY"
2020-06-21,"20-29",0,0,"KY"
2020-06-21,"30-39",3,0,"KY"
2020-06-21,"40-49",11,0,"KY"
2020-06-21,"50-59",34,0,"KY"
2020-06-21,"60-69",83,1,"KY"
2020-06-21,"70-79",131,1,"KY"
2020-06-21,"80+",263,0,"KY"
2020-06-22,"0-9",1,0,"KY"
2020-06-22,"10-19",0,0,"KY"
2020-06-22,"20-29",0,0,"KY"
2020-06-22,"30-39",3,0,"KY"
2020-06-22,"40-49",11,0,"KY"
2020-06-22,"50-59",34,0,"KY"
2020-06-22,"60-69",83,0,"KY"
2020-06-22,"70-79",131,0,"KY"
2020-06-22,"80+",263,0,"KY"
2020-06-23,"0-9",1,0,"KY"
2020-06-23,"10-19",0,0,"KY"
2020-06-23,"20-29",0,0,"KY"
2020-06-23,"30-39",3,0,"KY"
2020-06-23,"40-49",12,1,"KY"
2020-06-23,"50-59",35,1,"KY"
2020-06-23,"60-69",84,1,"KY"
2020-06-23,"70-79",135,4,"KY"
2020-06-23,"80+",267,4,"KY"
2020-06-24,"0-9",1,0,"KY"
2020-06-24,"10-19",0,0,"KY"
2020-06-24,"20-29",0,0,"KY"
2020-06-24,"30-39",3,0,"KY"
2020-06-24,"40-49",12,0,"KY"
2020-06-24,"50-59",35,0,"KY"
2020-06-24,"60-69",84,0,"KY"
2020-06-24,"70-79",135,0,"KY"
2020-06-24,"80+",268,1,"KY"
2020-06-25,"0-9",1,0,"KY"
2020-06-25,"10-19",0,0,"KY"
2020-06-25,"20-29",0,0,"KY"
2020-06-25,"30-39",3,0,"KY"
2020-06-25,"40-49",12,0,"KY"
2020-06-25,"50-59",35,0,"KY"
2020-06-25,"60-69",86,2,"KY"
2020-06-25,"70-79",135,0,"KY"
2020-06-25,"80+",274,6,"KY"
2020-06-26,"0-9",1,0,"KY"
2020-06-26,"10-19",0,0,"KY"
2020-06-26,"20-29",0,0,"KY"
2020-06-26,"30-39",3,0,"KY"
2020-06-26,"40-49",12,0,"KY"
2020-06-26,"50-59",35,0,"KY"
2020-06-26,"60-69",86,0,"KY"
2020-06-26,"70-79",135,0,"KY"
2020-06-26,"80+",274,0,"KY"
2020-06-27,"0-9",1,0,"KY"
2020-06-27,"10-19",0,0,"KY"
2020-06-27,"20-29",0,0,"KY"
2020-06-27,"30-39",3,0,"KY"
2020-06-27,"40-49",13,1,"KY"
2020-06-27,"50-59",35,0,"KY"
2020-06-27,"60-69",86,0,"KY"
2020-06-27,"70-79",136,1,"KY"
2020-06-27,"80+",280,6,"KY"
2020-06-28,"0-9",1,0,"KY"
2020-06-28,"10-19",0,0,"KY"
2020-06-28,"20-29",0,0,"KY"
2020-06-28,"30-39",4,1,"KY"
2020-06-28,"40-49",13,0,"KY"
2020-06-28,"50-59",35,0,"KY"
2020-06-28,"60-69",86,0,"KY"
2020-06-28,"70-79",136,0,"KY"
2020-06-28,"80+",283,3,"KY"
2020-06-29,"0-9",1,0,"KY"
2020-06-29,"10-19",0,0,"KY"
2020-06-29,"20-29",0,0,"KY"
2020-06-29,"30-39",4,0,"KY"
2020-06-29,"40-49",13,0,"KY"
2020-06-29,"50-59",35,0,"KY"
2020-06-29,"60-69",86,0,"KY"
2020-06-29,"70-79",136,0,"KY"
2020-06-29,"80+",283,0,"KY"
2020-06-30,"0-9",1,0,"KY"
2020-06-30,"10-19",0,0,"KY"
2020-06-30,"20-29",0,0,"KY"
2020-06-30,"30-39",4,0,"KY"
2020-06-30,"40-49",13,0,"KY"
2020-06-30,"50-59",35,0,"KY"
2020-06-30,"60-69",87,1,"KY"
2020-06-30,"70-79",138,2,"KY"
2020-06-30,"80+",285,2,"KY"
2020-07-01,"0-9",1,0,"KY"
2020-07-01,"10-19",0,0,"KY"
2020-07-01,"20-29",0,0,"KY"
2020-07-01,"30-39",4,0,"KY"
2020-07-01,"40-49",13,0,"KY"
2020-07-01,"50-59",36,1,"KY"
2020-07-01,"60-69",88,1,"KY"
2020-07-01,"70-79",138,0,"KY"
2020-07-01,"80+",290,5,"KY"
2020-07-02,"0-9",1,0,"KY"
2020-07-02,"10-19",0,0,"KY"
2020-07-02,"20-29",0,0,"KY"
2020-07-02,"30-39",4,0,"KY"
2020-07-02,"40-49",13,0,"KY"
2020-07-02,"50-59",36,0,"KY"
2020-07-02,"60-69",91,3,"KY"
2020-07-02,"70-79",138,0,"KY"
2020-07-02,"80+",296,6,"KY"
2020-07-03,"0-9",1,0,"KY"
2020-07-03,"10-19",0,0,"KY"
2020-07-03,"20-29",0,0,"KY"
2020-07-03,"30-39",4,0,"KY"
2020-07-03,"40-49",13,0,"KY"
2020-07-03,"50-59",36,0,"KY"
2020-07-03,"60-69",91,0,"KY"
2020-07-03,"70-79",139,1,"KY"
2020-07-03,"80+",299,3,"KY"
2020-07-04,"0-9",1,0,"KY"
2020-07-04,"10-19",0,0,"KY"
2020-07-04,"20-29",0,0,"KY"
2020-07-04,"30-39",4,0,"KY"
2020-07-04,"40-49",13,0,"KY"
2020-07-04,"50-59",36,0,"KY"
2020-07-04,"60-69",91,0,"KY"
2020-07-04,"70-79",139,0,"KY"
2020-07-04,"80+",299,0,"KY"
2020-07-05,"0-9",1,0,"KY"
2020-07-05,"10-19",0,0,"KY"
2020-07-05,"20-29",0,0,"KY"
2020-07-05,"30-39",4,0,"KY"
2020-07-05,"40-49",13,0,"KY"
2020-07-05,"50-59",36,0,"KY"
2020-07-05,"60-69",91,0,"KY"
2020-07-05,"70-79",139,0,"KY"
2020-07-05,"80+",299,0,"KY"
2020-07-06,"0-9",1,0,"KY"
2020-07-06,"10-19",0,0,"KY"
2020-07-06,"20-29",0,0,"KY"
2020-07-06,"30-39",4,0,"KY"
2020-07-06,"40-49",13,0,"KY"
2020-07-06,"50-59",37,1,"KY"
2020-07-06,"60-69",91,0,"KY"
2020-07-06,"70-79",140,1,"KY"
2020-07-06,"80+",305,6,"KY"
2020-07-07,"0-9",1,0,"KY"
2020-07-07,"10-19",0,0,"KY"
2020-07-07,"20-29",0,0,"KY"
2020-07-07,"30-39",4,0,"KY"
2020-07-07,"40-49",13,0,"KY"
2020-07-07,"50-59",38,1,"KY"
2020-07-07,"60-69",93,2,"KY"
2020-07-07,"70-79",142,2,"KY"
2020-07-07,"80+",309,4,"KY"
2020-07-08,"0-9",1,0,"KY"
2020-07-08,"10-19",0,0,"KY"
2020-07-08,"20-29",0,0,"KY"
2020-07-08,"30-39",4,0,"KY"
2020-07-08,"40-49",13,0,"KY"
2020-07-08,"50-59",38,0,"KY"
2020-07-08,"60-69",95,2,"KY"
2020-07-08,"70-79",146,4,"KY"
2020-07-08,"80+",309,0,"KY"
2020-07-09,"0-9",1,0,"KY"
2020-07-09,"10-19",0,0,"KY"
2020-07-09,"20-29",0,0,"KY"
2020-07-09,"30-39",4,0,"KY"
2020-07-09,"40-49",13,0,"KY"
2020-07-09,"50-59",38,0,"KY"
2020-07-09,"60-69",96,1,"KY"
2020-07-09,"70-79",147,1,"KY"
2020-07-09,"80+",311,2,"KY"
2020-07-10,"0-9",1,0,"KY"
2020-07-10,"10-19",0,0,"KY"
2020-07-10,"20-29",0,0,"KY"
2020-07-10,"30-39",4,0,"KY"
2020-07-10,"40-49",13,0,"KY"
2020-07-10,"50-59",38,0,"KY"
2020-07-10,"60-69",99,3,"KY"
2020-07-10,"70-79",149,2,"KY"
2020-07-10,"80+",314,3,"KY"
2020-07-11,"0-9",1,0,"KY"
2020-07-11,"10-19",0,0,"KY"
2020-07-11,"20-29",0,0,"KY"
2020-07-11,"30-39",4,0,"KY"
2020-07-11,"40-49",13,0,"KY"
2020-07-11,"50-59",38,0,"KY"
2020-07-11,"60-69",100,1,"KY"
2020-07-11,"70-79",149,0,"KY"
2020-07-11,"80+",315,1,"KY"
2020-07-12,"0-9",1,0,"KY"
2020-07-12,"10-19",0,0,"KY"
2020-07-12,"20-29",0,0,"KY"
2020-07-12,"30-39",4,0,"KY"
2020-07-12,"40-49",13,0,"KY"
2020-07-12,"50-59",38,0,"KY"
2020-07-12,"60-69",100,0,"KY"
2020-07-12,"70-79",150,1,"KY"
2020-07-12,"80+",317,2,"KY"
2020-07-13,"0-9",1,0,"KY"
2020-07-13,"10-19",0,0,"KY"
2020-07-13,"20-29",0,0,"KY"
2020-07-13,"30-39",4,0,"KY"
2020-07-13,"40-49",13,0,"KY"
2020-07-13,"50-59",39,1,"KY"
2020-07-13,"60-69",100,0,"KY"
2020-07-13,"70-79",152,2,"KY"
2020-07-13,"80+",318,1,"KY"
2020-07-14,"0-9",1,0,"KY"
2020-07-14,"10-19",0,0,"KY"
2020-07-14,"20-29",0,0,"KY"
2020-07-14,"30-39",4,0,"KY"
2020-07-14,"40-49",14,1,"KY"
2020-07-14,"50-59",39,0,"KY"
2020-07-14,"60-69",101,1,"KY"
2020-07-14,"70-79",154,2,"KY"
2020-07-14,"80+",320,2,"KY"
2020-07-15,"0-9",1,0,"KY"
2020-07-15,"10-19",0,0,"KY"
2020-07-15,"20-29",0,0,"KY"
2020-07-15,"30-39",4,0,"KY"
2020-07-15,"40-49",14,0,"KY"
2020-07-15,"50-59",39,0,"KY"
2020-07-15,"60-69",103,2,"KY"
2020-07-15,"70-79",158,4,"KY"
2020-07-15,"80+",324,4,"KY"
2020-07-16,"0-9",1,0,"KY"
2020-07-16,"10-19",0,0,"KY"
2020-07-16,"20-29",0,0,"KY"
2020-07-16,"30-39",4,0,"KY"
2020-07-16,"40-49",14,0,"KY"
2020-07-16,"50-59",40,1,"KY"
2020-07-16,"60-69",103,0,"KY"
2020-07-16,"70-79",158,0,"KY"
2020-07-16,"80+",328,4,"KY"
2020-07-17,"0-9",1,0,"KY"
2020-07-17,"10-19",0,0,"KY"
2020-07-17,"20-29",0,0,"KY"
2020-07-17,"30-39",4,0,"KY"
2020-07-17,"40-49",14,0,"KY"
2020-07-17,"50-59",40,0,"KY"
2020-07-17,"60-69",105,2,"KY"
2020-07-17,"70-79",161,3,"KY"
2020-07-17,"80+",331,3,"KY"
2020-07-18,"0-9",1,0,"KY"
2020-07-18,"10-19",0,0,"KY"
2020-07-18,"20-29",0,0,"KY"
2020-07-18,"30-39",4,0,"KY"
2020-07-18,"40-49",14,0,"KY"
2020-07-18,"50-59",40,0,"KY"
2020-07-18,"60-69",106,1,"KY"
2020-07-18,"70-79",163,2,"KY"
2020-07-18,"80+",337,6,"KY"
2020-07-19,"0-9",1,0,"KY"
2020-07-19,"10-19",0,0,"KY"
2020-07-19,"20-29",0,0,"KY"
2020-07-19,"30-39",4,0,"KY"
2020-07-19,"40-49",14,0,"KY"
2020-07-19,"50-59",41,1,"KY"
2020-07-19,"60-69",107,1,"KY"
2020-07-19,"70-79",164,1,"KY"
2020-07-19,"80+",337,0,"KY"
2020-07-20,"0-9",1,0,"KY"
2020-07-20,"10-19",0,0,"KY"
2020-07-20,"20-29",0,0,"KY"
2020-07-20,"30-39",4,0,"KY"
2020-07-20,"40-49",14,0,"KY"
2020-07-20,"50-59",41,0,"KY"
2020-07-20,"60-69",107,0,"KY"
2020-07-20,"70-79",164,0,"KY"
2020-07-20,"80+",338,1,"KY"
2020-07-21,"0-9",1,0,"KY"
2020-07-21,"10-19",0,0,"KY"
2020-07-21,"20-29",0,0,"KY"
2020-07-21,"30-39",4,0,"KY"
2020-07-21,"40-49",14,0,"KY"
2020-07-21,"50-59",41,0,"KY"
2020-07-21,"60-69",108,1,"KY"
2020-07-21,"70-79",164,0,"KY"
2020-07-21,"80+",340,2,"KY"
2020-07-22,"0-9",1,0,"KY"
2020-07-22,"10-19",0,0,"KY"
2020-07-22,"20-29",0,0,"KY"
2020-07-22,"30-39",4,0,"KY"
2020-07-22,"40-49",15,1,"KY"
2020-07-22,"50-59",41,0,"KY"
2020-07-22,"60-69",109,1,"KY"
2020-07-22,"70-79",164,0,"KY"
2020-07-22,"80+",341,1,"KY"
2020-07-23,"0-9",1,0,"KY"
2020-07-23,"10-19",0,0,"KY"
2020-07-23,"20-29",0,0,"KY"
2020-07-23,"30-39",4,0,"KY"
2020-07-23,"40-49",16,1,"KY"
2020-07-23,"50-59",42,1,"KY"
2020-07-23,"60-69",112,3,"KY"
2020-07-23,"70-79",164,0,"KY"
2020-07-23,"80+",343,2,"KY"
2020-07-24,"0-9",1,0,"KY"
2020-07-24,"10-19",0,0,"KY"
2020-07-24,"20-29",0,0,"KY"
2020-07-24,"30-39",4,0,"KY"
2020-07-24,"40-49",16,0,"KY"
2020-07-24,"50-59",44,2,"KY"
2020-07-24,"60-69",113,1,"KY"
2020-07-24,"70-79",165,1,"KY"
2020-07-24,"80+",346,3,"KY"
2020-07-25,"0-9",1,0,"KY"
2020-07-25,"10-19",0,0,"KY"
2020-07-25,"20-29",0,0,"KY"
2020-07-25,"30-39",4,0,"KY"
2020-07-25,"40-49",16,0,"KY"
2020-07-25,"50-59",44,0,"KY"
2020-07-25,"60-69",115,2,"KY"
2020-07-25,"70-79",166,1,"KY"
2020-07-25,"80+",348,2,"KY"
2020-07-26,"0-9",1,0,"KY"
2020-07-26,"10-19",0,0,"KY"
2020-07-26,"20-29",0,0,"KY"
2020-07-26,"30-39",5,1,"KY"
2020-07-26,"40-49",16,0,"KY"
2020-07-26,"50-59",44,0,"KY"
2020-07-26,"60-69",115,0,"KY"
2020-07-26,"70-79",168,2,"KY"
2020-07-26,"80+",349,1,"KY"
2020-07-27,"0-9",1,0,"KY"
2020-07-27,"10-19",0,0,"KY"
2020-07-27,"20-29",0,0,"KY"
2020-07-27,"30-39",5,0,"KY"
2020-07-27,"40-49",16,0,"KY"
2020-07-27,"50-59",44,0,"KY"
2020-07-27,"60-69",117,2,"KY"
2020-07-27,"70-79",172,4,"KY"
2020-07-27,"80+",352,3,"KY"
2020-07-28,"0-9",1,0,"KY"
2020-07-28,"10-19",0,0,"KY"
2020-07-28,"20-29",0,0,"KY"
2020-07-28,"30-39",6,1,"KY"
2020-07-28,"40-49",16,0,"KY"
2020-07-28,"50-59",44,0,"KY"
2020-07-28,"60-69",117,0,"KY"
2020-07-28,"70-79",174,2,"KY"
2020-07-28,"80+",359,7,"KY"
2020-07-29,"0-9",1,0,"KY"
2020-07-29,"10-19",0,0,"KY"
2020-07-29,"20-29",0,0,"KY"
2020-07-29,"30-39",6,0,"KY"
2020-07-29,"40-49",16,0,"KY"
2020-07-29,"50-59",45,1,"KY"
2020-07-29,"60-69",117,0,"KY"
2020-07-29,"70-79",176,2,"KY"
2020-07-29,"80+",361,2,"KY"
2020-07-30,"0-9",1,0,"KY"
2020-07-30,"10-19",0,0,"KY"
2020-07-30,"20-29",0,0,"KY"
2020-07-30,"30-39",6,0,"KY"
2020-07-30,"40-49",16,0,"KY"
2020-07-30,"50-59",45,0,"KY"
2020-07-30,"60-69",119,2,"KY"
2020-07-30,"70-79",178,2,"KY"
2020-07-30,"80+",364,3,"KY"
2020-07-31,"0-9",1,0,"KY"
2020-07-31,"10-19",0,0,"KY"
2020-07-31,"20-29",0,0,"KY"
2020-07-31,"30-39",6,0,"KY"
2020-07-31,"40-49",16,0,"KY"
2020-07-31,"50-59",45,0,"KY"
2020-07-31,"60-69",120,1,"KY"
2020-07-31,"70-79",179,1,"KY"
2020-07-31,"80+",366,2,"KY"
2020-08-01,"0-9",1,0,"KY"
2020-08-01,"10-19",0,0,"KY"
2020-08-01,"20-29",0,0,"KY"
2020-08-01,"30-39",6,0,"KY"
2020-08-01,"40-49",16,0,"KY"
2020-08-01,"50-59",46,1,"KY"
2020-08-01,"60-69",122,2,"KY"
2020-08-01,"70-79",179,0,"KY"
2020-08-01,"80+",368,2,"KY"
2020-08-02,"0-9",1,0,"KY"
2020-08-02,"10-19",0,0,"KY"
2020-08-02,"20-29",0,0,"KY"
2020-08-02,"30-39",6,0,"KY"
2020-08-02,"40-49",16,0,"KY"
2020-08-02,"50-59",47,1,"KY"
2020-08-02,"60-69",123,1,"KY"
2020-08-02,"70-79",179,0,"KY"
2020-08-02,"80+",368,0,"KY"
2020-08-03,"0-9",1,0,"KY"
2020-08-03,"10-19",0,0,"KY"
2020-08-03,"20-29",0,0,"KY"
2020-08-03,"30-39",6,0,"KY"
2020-08-03,"40-49",16,0,"KY"
2020-08-03,"50-59",47,0,"KY"
2020-08-03,"60-69",123,0,"KY"
2020-08-03,"70-79",180,1,"KY"
2020-08-03,"80+",369,1,"KY"
2020-08-04,"0-9",1,0,"KY"
2020-08-04,"10-19",0,0,"KY"
2020-08-04,"20-29",0,0,"KY"
